No,Category,Subcategory,Brand,Product_Name,Price_VND,Reviews,Rating,Fragrance_Type,Claim,Platform,Brand_Origin,Price_Tier,Brand_Status,Product_Category
31.0,Personal Care Fragrance,Shampoo,L'Oréal Paris,L'Oréal Paris Elseve Hyaluron Pure 72H Purifying Shampoo,188999.0,16000.0,4.9,Fresh / Citrus,"Excess oil removal, Hair volumizing/bouncy, 72H purification, Hydrates lengths, Oily roots & dehydrated lengths care",Shopee,International,Affordable Premium,Established,Shampoo
32.0,Personal Care Fragrance,Shampoo,Youthology,Youthology Oil Control Anti-Dandruff Shampoo (200g),200000.0,1400.0,4.8,Fresh / Clean,"Oil control, Anti-dandruff, Deep scalp clearing, Refreshing & comfortable feel",Shopee,International,Affordable Premium,Emerging,Shampoo
33.0,Personal Care Fragrance,Shampoo,Lashe Superfood,Lashe Superfood Anti-Hair Fall Kiwi & Manuka Honey Extract Shampoo (640g),203000.0,24000.0,4.8,Fruity / Sweet,"Anti-hair fall, Hair breakage prevention, Deep nourishment, X-VITA Tech formulation",Shopee,International,Mass,Emerging,Shampoo
34.0,Personal Care Fragrance,Shampoo,Lashe Superfood,Lashe Superfood Damage Repair Goji Berry Extract & Almond Oil Shampoo (640g),203000.0,24000.0,4.8,Fruity,"Damage repair, Dry and damaged hair restoration, Deep nourishment, X-VITA Tech formulation",Shopee,International,Mass,Emerging,Shampoo
35.0,Personal Care Fragrance,Shampoo,Lashe Superfood,Lashe Superfood Anti-Dandruff & Anti-Hair Fall Apple Cider Vinegar & Royal Jelly Extract Shampoo (630g),203000.0,24000.0,4.8,Fruity / Fresh,"Anti-dandruff, Anti-hair fall, Hair breakage prevention, 48H itch relief, X-VITA Tech formulation",Shopee,International,Mass,Emerging,Shampoo
36.0,Personal Care Fragrance,Shampoo,Lashe Superfood,Lashe Superfood Anti-Dandruff & Smoothing Apple Cider Vinegar & Oatmeal Extract Shampoo (630g),203000.0,24000.0,4.8,Fruity,"Anti-dandruff, Hair smoothing, Softness, 48H flake protection, X-VITA Tech formulation",Shopee,International,Mass,Emerging,Shampoo
37.0,Personal Care Fragrance,Shampoo,Tsubaki,Tsubaki Premium Volume & Repair Shampoo & Conditioner Duo Set (Bộ đôi Gội xả Phục hồi & bồng bềnh Tsubaki Premium Volume & Repair 450mlx2),451637.0,696000.0,4.8,Floral / Fruity,"Hair damage repair, Volumizing/bouncy effect, Anti-limp/oily scalp balancing, Camellia oil deep nourishment",Shopee,International,Affordable Premium,Established,Shampoo
38.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuan Nourishing Shiny Hair Shampoo - Light Green Bottle (450 ml),205000.0,766.0,4.9,Herbal / Fresh / Clean,"Hair nourishing, Shiny hair restoration, Hair fall reduction, Scalp protection, Damage repair",Shopee,Local,Mass,Established,Shampoo
39.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuan Medicinal Shampoo Intense Nourishing & Anti-Hair Fall - Brown Bottle (450 ml),158000.0,766.0,4.9,Herbal / Sweet / Gourmand,"Hair fall reduction, Root strengthening, Hair growth stimulation, Scalp cell revitalization, Damage repair",Shopee,Local,Mass,Established,Shampoo
40.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Hair Fall Control Pro-V Shampoo (Hair Fall Control Pro-V Shampoo 900ml),246000.0,1500.0,5.0,Fruity / Floral,"Hair fall reduction, Root-to-tip hair strengthening, Pro-Vitamin structural nourishment, Breakage protection",Shopee,International,Mass,Established,Shampoo
41.0,Personal Care Fragrance,Shampoo,Head & Shoulders,Head & Shoulders Itchy Scalp Care Anti-Dandruff Shampoo with Eucalyptus 625ml,191000.0,1800.0,4.9,Herbal / Fresh / Clean,"Anti-dandruff, Immediate itch relief, Scalp soothing, Eucalyptus cooling sensation, Sebum control",Shopee,International,Mass,Established,Shampoo
42.0,Personal Care Fragrance,Shampoo,Clear,Clear Botanical Root Nourishing Anti-Dandruff & Hair Fall Rescue Shampoo 630g,199950.0,25000.0,4.7,Herbal / Sweet / Gourmand,"Deep scalp nourishment, Dandruff elimination, Hair fall reduction, Root strengthening",Shopee,International,Mass,Established,Shampoo
43.0,Personal Care Fragrance,Shampoo,Sunsilk,Sunsilk Natural Anti-Hair Fall Pomelo Peel Essential Oil Shampoo 380ml,115000.0,4100.0,4.9,Citrus / Fresh / Clean,"Hair fall reduction, Structural breakage protection, Natural hair nourishment, Scalp refreshing",Shopee,International,Mass,Established,Shampoo
44.0,Personal Care Fragrance,Shampoo,Sunsilk,Sunsilk Natural Damage Repair Coconut Oil & Eclipta Alba Shampoo 380ml,115000.0,4100.0,4.9,Sweet / Gourmand,"Deep damage repair, Hair nourishment, Moisture restoration, Softness and shine",Shopee,International,Mass,Established,Shampoo
45.0,Personal Care Fragrance,Shampoo,Sunsilk,Sunsilk Natural Anti-Hair Fall Pomelo Peel Essential Oil Shampoo 650g,145000.0,7600.0,4.9,Floral / Sweet / Gourmand,"100-hour intense softness, Argan oil hair smoothing, Moisture locking, Long-lasting fragrance retention",Shopee,International,Mass,Established,Shampoo
46.0,Personal Care Fragrance,Shampoo,Head & Shoulders,Head & Shoulders Cool Menthol Anti-Dandruff Shampoo 850ml,281000.0,4000.0,4.9,Fresh / Clean,"Anti-dandruff, Intense cooling sensation, Scalp itch relief, Sebum control, Refreshing clean",Shopee,International,Mass,Established,Shampoo
47.0,Personal Care Fragrance,Shampoo,I'MK,I'MK Men Herbal Anti-Dandruff & Fungal Control Shampoo 250ml,350350.0,274.0,5.0,Herbal / Fresh,"Dandruff elimination, Scalp fungus control, Itch relief, Paraben-free, Daily gentle cleansing",Shopee,Local,Affordable Premium,Emerging,Shampoo
48.0,Personal Care Fragrance,Shampoo,Girlz Only,Girlz Only Party Nights Dry Shampoo 200ml,212000.0,175.0,4.9,Fruity / Floral,"Excess oil absorption, Instant hair volume, Clean hair between washes, Long-lasting fresh scent, Residue-free refresh",Shopee,International,Mass,Established,Shampoo
49.0,Personal Care Fragrance,Shampoo,Girlz Only,Girlz Only Dawn 'Til Dusk Dry Shampoo 200ml,118000.0,61000.0,4.9,Citrus / Fresh / Clean,"24-hour oil control, Root volume lifting, Instant hair refresh between washes, Clean citrus fragrance revitalisation",Shopee,International,Mass,Established,Shampoo
50.0,Personal Care Fragrance,Shampoo,Girlz Only,Girlz Only For Brunettes Dry Shampoo 200ml,117000.0,61000.0,4.9,Floral / Woody,"Tinted cocoa oil absorption, Zero white residue, Blends with dark hair tones, Instant root volume",Shopee,International,Mass,Established,Shampoo
51.0,Personal Care Fragrance,Shampoo,Girlz Only,Girlz Only Dazzling Volume Dry Shampoo 200ml,118000.0,61000.0,4.9,Floral / Fresh / Clean,"High-intensity root lifting, Maximum texture and bounce, Instant excess sebum absorption, Matte finish refresh",Shopee,International,Mass,Established,Shampoo
52.0,Personal Care Fragrance,Shampoo,Girlz Only,Girlz Only No Residue Nude Dry Shampoo 200ml,118000.0,61000.0,4.9,Fresh / Clean,"Zero powdery white residue, Translucent oil absorption, Lightweight root refreshment, Barely-there feel",Shopee,International,Mass,Established,Shampoo
53.0,Personal Care Fragrance,Shampoo,Café Mimi,Café Mimi Super Volume & Cleansing Shampoo Scrub 330g,200000.0,1200.0,5.0,Fresh / Clean / Herbal,"Deep scalp exfoliation, Super volume amplification, Excess sebum removal, Eco-friendly formulation",Shopee,International,Mass,Established,Shampoo
54.0,Personal Care Fragrance,Shampoo,Café Mimi,Café Mimi Deep Cleansing & Hair Growth Shampoo Scrub 330g,200000.0,1200.0,5.0,Fresh / Clean / Herbal,"Deep scalp exfoliation, Hair growth stimulation, Sea salt root purification, Ginseng extract nourishment",Shopee,International,Mass,Established,Shampoo
55.0,Personal Care Fragrance,Shampoo,Fixderma,Fixderma Bioteez-S Anti-Dandruff Shampoo 75g,150000.0,70.0,4.8,Herbal,"Dandruff flake reduction, Scalp itch relief, Non-drying hydration, Fungal control, Sebum regulation",Shopee,International,Affordable Premium,Established,Shampoo
56.0,Personal Care Fragrance,Shampoo,Orzen,Orzen Signature Loss Control Shampoo 320ml,430650.0,735.0,4.9,Herbal / Fresh / Clean,"Anti-hair loss, Hair growth stimulation, 100% Organic ingredients, Scalp DHT blocking, Deep follicle nourishment",Shopee,International,Premium,Established,Shampoo
57.0,Personal Care Fragrance,Shampoo,Aromatica,Aromatica Rosemary Scalp Scaling Shampoo 400ml,390000.0,690.0,4.9,Herbal,"Anti-hair loss, Scalp scaling & exfoliation, Dead skin cell removal, Silicone- & sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
58.0,Personal Care Fragrance,Shampoo,Vichy,Vichy Dercos Anti-Dandruff DS Dermatological Shampoo (Normal to Oily Hair) 200ml,415000.0,325.0,4.9,Fresh / Clean,"Eliminates up to 100% of visible flakes, 6-week anti-relapse action, Relieves scalp itchiness, Balances scalp microbiome",Shopee,International,Premium,Established,Shampoo
59.0,Personal Care Fragrance,Shampoo,Vichy,Vichy Dercos Energy+ Stimulating Shampoo (Anti-Hair Loss) 200ml,699720.0,130.0,4.8,Fresh / Clean,"Combat hair thinning, Fortify hair fiber volume, Aminexil-enriched root anchoring, Scalp revitalization",Shopee,International,Premium,Established,Shampoo
60.0,Personal Care Fragrance,Shampoo,Pantene,Combo Pantene Micellar Detox & Purify Algae Extract Shampoo 530ml + Conditioner 530ml,309960.0,64.0,4.7,Fresh / Clean,"Deep micellar purification, Damaged hair repair, Algae extract hydration, 0% silicone added",Shopee,International,Mass,Established,Shampoo
61.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Pro-V Anti-Dandruff Shampoo 900ml,270000.0,8900.0,4.9,Fresh / Clean,"Flake reduction, Anti-dandruff protection, Scalp itch relief, Pro-Vitamin nourishment",Shopee,International,Mass,Established,Shampoo
62.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Pro-V Total Damage Care Shampoo 900ml,270000.0,8900.0,4.9,Floral,"3x deep damage restoration, Core-to-tip hair health rebuilding, Splitting and breakage defense, Pro-Vitamin moisture lock",Shopee,International,Mass,Established,Shampoo
63.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Pro-V Silky Smooth Care Shampoo 900ml,270000.0,8900.0,4.9,Fresh / Fruity,"2x smoother hair, Intense frizz reduction, Moisture lock, Pro-Vitamin nutrient infusion",Shopee,International,Mass,Established,Shampoo
64.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Miracles Collagen Repair Silicone-Free Shampoo 500ml,290000.0,64.0,5.0,Floral / Fruity / Sweet / Gourmand,"Deep structural repair for damaged/heat-styled hair, Collagen-infused fiber rebuilding, Silicone-free lightweight cleansing",Shopee,International,Affordable Premium,Established,Shampoo
65.0,Personal Care Fragrance,Shampoo,Pantene,Pantene Miracles Biotin Strength Silicone-Free Shampoo 500ml,290000.0,64.0,5.0,Floral /Sweet / Gourmand,"Breakage prevention for dry/brittle hair, Biotin-infused strand strengthening, Silicone-free scalp purification",Shopee,International,Affordable Premium,Established,Shampoo
66.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Anti-Chute / Anti-Hair Loss Fortifying Shampoo 300ml,360000.0,1500.0,4.9,Herbal / Fresh / Clean,"Reduces hair loss, Stimulates microcirculation, Sulfate-free gentle cleansing, Silicone-free lightweight care",Shopee,International,Affordable Premium,Established,Shampoo
67.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Pureté / Purity Detoxifying Shampoo (Normal to Oily Hair) 300ml,330000.0,1500.0,4.9,Fresh / Clean,"Clarifies and deeply detoxifies the scalp, Removes excess sebum and buildup, 48-hour oil control refresh, Sulfate-free & silicone-free",Shopee,International,Affordable Premium,Established,Shampoo
68.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Anti-Pelliculaire / Anti-Dandruff Treatment Shampoo 300ml,360000.0,1500.0,4.9,Herbal / Fresh / Clean,"Eliminates dandruff from first use, prevents relapse, organic peppermint scalp refresh, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
69.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Réparation / Repair Restoring Shampoo 300ml,259300.0,1500.0,4.9,Woody / Sweet / Gourmand / Herbal,"Restructures and repairs deeply damaged hair fibers, reduces breakage, organic jojoba oil nourishment, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
70.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Volume / Plumping Shampoo 300ml,330000.0,1500.0,4.9,Herbal / Fresh / Clean,"Amplifies texture and root volume for fine/flat hair, densifies fiber appearance, organic quinoa peptides, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
71.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Brillance / Shine Protective Shampoo 300ml,259300.0,1500.0,4.9,Fruity / Fresh / Clean,"Enhances hair gloss and vibrance, protects color-treated or dull hair, smooths outer scales with raspberry vinegar, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
72.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Boucles / Curls Defining Shampoo 300ml,330000.0,1500.0,4.9,Herbal,"Defines and shapes curls without weighing them down, frizz control, bouncy movement via organic flax extract, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
73.0,Personal Care Fragrance,Shampoo,Yves Rocher,Yves Rocher Nutrition / Nourishing Shampoo 300ml,330000.0,1500.0,4.9,Floral / Herbal,"Deeply nourishes dry and brittle hair strands, restores lipids, supple smoothness via organic camelina oil, sulfate-free",Shopee,International,Affordable Premium,Established,Shampoo
74.0,Personal Care Fragrance,Shampoo,Batiste,Batiste Dry Shampoo Rose Gold (Radiant Rose) 200ml,198000.0,1400.0,5.0,Floral / Fruity / Sweet / Gourmand / Woody,"Instantly absorbs excess root oil/grease, Volumizes and adds body/texture without drying hair out, Multi-award winning formula",Shopee,International,Mass,Established,Shampoo
75.0,Personal Care Fragrance,Shampoo,Batiste,Batiste Dry Shampoo Fresh (Breezy Citrus) 200ml,198000.0,1400.0,5.0,Fresh / Clean,"Instantly absorbs oil and removes grease, weightlessly volumizes fine hair, leaves a crisp and refreshing unisex scent",Shopee,International,Mass,Established,Shampoo
76.0,Personal Care Fragrance,Shampoo,Nguyen Xuan,Nguyen Xuan Plus Super Smooth Medicinal Shampoo 400g,189000.0,186.0,5.0,Herbal,"Intense hair smoothing, roots nourishment, hair loss reduction, chemical damage restoration",Lazada,Local,Affordable Premium,Established,Shampoo
77.0,Personal Care Fragrance,Shampoo,Moroccanoil,Moroccanoil Smoothing Shampoo 1000ml,499000.0,672.0,4.9,Sweet / Gourmand / Floral,"Smooths and tames unruly, frizzy hair; proprietary AminoRenew ingredient restores depleted amino acids to strengthen and align hair's natural keratin structure; color-safe",Lazada,International,Premium,Established,Shampoo
78.0,Personal Care Fragrance,Shampoo,MAIGOOLE,MAIGOOLE Selenium Disulfide Anti-dandruff Shampoo 300ml,180000.0,57.0,4.8,Herbal,"Formulated with active Selenium Disulfide to targetedly treat scalp fungal infections, eliminate stubborn flakes, and relieve severe itching while balancing scalp oils and keeping hair smooth.",Lazada,International,Affordable Premium,Emerging,Shampoo
79.0,Personal Care Fragrance,Shampoo,OYAX,OYAX Ha Thu O Herbal Shampoo 500ml,150000.0,155.0,4.9,Herbal,"Reduces hair loss, reverses or reduces gray hair, stimulates active hair growth, and prevents structural hair breakage utilizing traditional black ganoderma and multiflorum herbal extracts.",Lazada,International,Mass,Emerging,Shampoo
80.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Extra Shampoo Repair & Protect 1000ml,260000.0,274.0,5.0,Floral,Repairs and protects damaged hair with Amino Acids and Silk Proteins.,Lazada,International,Affordable Premium,Established,Shampoo
81.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Extra Shampoo Treatment IN 1000ml,260000.0,274.0,5.0,Floral,Cleanses and deeply conditions hair in one step with Amino Acids and Silk Proteins.,Lazada,International,Affordable Premium,Established,Shampoo
82.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Amino Shampoo Repair & Protect 1000ml,260000.0,274.0,5.0,Fresh / Clean / Floral,Deeply repairs damaged hair fibers with a high-concentration Amino Acid formula.,Lazada,International,Affordable Premium,Established,Shampoo
83.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Extra Shampoo Osmanthus 1000ml,260000.0,274.0,5.0,Floral / Sweet / Gourmand,Restores moisture and severe damage while leaving a long-lasting sweet osmanthus scent.,Lazada,International,Affordable Premium,Established,Shampoo
84.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Amino Shampoo Damage Repair (Camellia Oil) 1000ml,260000.0,274.0,5.0,Floral,Nourishes brittle hair and locks in moisture using natural Camellia Oil and Amino Acids.,Lazada,International,Affordable Premium,Established,Shampoo
85.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Non-Silicone Shampoo 1000ml,260000.0,274.0,5.0,Fresh / Clean / Herbal,"Provides a lightweight, non-greasy cleanse without silicone buildup to protect scalp health.",Lazada,International,Affordable Premium,Established,Shampoo
86.0,Personal Care Fragrance,Shampoo,Salon Link,Salon Link Medicated Amino Treatment IN Shampoo 1000ml,260000.0,274.0,5.0,Herbal,"Soothes itchy, sensitive scalps and targets dandruff with a medicated amino-infused formula.",Lazada,International,Affordable Premium,Established,Shampoo
87.0,Personal Care Fragrance,Shampoo,LIFUSHA,LIFUSHA Seaweed Lactobacillus Dandruff Removing Moisturizing Shampoo 500ml,113820.0,94.0,4.7,Fresh / Clean / Herbal,"Cleans white dandruff, eliminates fungus, reduces hair loss, and controls oiliness.",Lazada,International,Mass,Emerging,Shampoo
88.0,Personal Care Fragrance,Shampoo,Hachi,Hachi Regenerating Grapefruit Shampoo 500ml,260000.0,53.0,4.8,Fresh / Clean / Herbal,"Eliminates dandruff and scalp odors while moisturizing dry, itchy scalps with a silicone-free formula.",Lazada,Local,Mass,Established,Shampoo
89.0,Personal Care Fragrance,Shampoo,Himalaya Pinksalt,Himalaya Pinksalt Anti Dandruff Shampoo Itchy Scalp Care 650ml,229000.0,57.0,5.0,Fresh / Clean / Herbal,"Stimulates hair growth, prevents hair breakage, and deeply nourishes damaged hair with Grapefruit, Avocado Oil, Biotin, and Collagen.",Lazada,International,Affordable Premium,Established,Shampoo
90.0,Personal Care Fragrance,Shampoo,Sao Thai Duong,Himalaya Pinksalt Anti Dandruff Shampoo Itchy Scalp Care 650ml,162000.0,1185.0,4.9,Floral / Sweet / Gourmand,"Provides intensive nourishment to smooth hair, reduces severe hair loss, and limits damaged breakages.",Lazada,Local,Affordable Premium,Established,Shampoo
91.0,Personal Care Fragrance,Shampoo,Cocoon,"Cocoon Grapefruit Shampoo, Sulfate-Free and Reduces Hair Breakage, 500ml",264000.0,26.0,4.8,Fruity / Citrus,"5-alpha reductase blocking, anti-hair loss, vegan care",Hasaki,Local,Affordable Premium,Emerging,Shampoo
